Time,Shell side Flow rate,Tube side In temp,Shell side out temp,Tube side out temp,Tube side Flow rate,Shell side In temp,Fluid Density,Density,Density correction,MMJoules,MM kcal/hr,Unknown,Delta T1,Delta T2,LMTD,UA,U value,Ch,Cc,G_s,Re_s,Nu_s,ho,G_t,v_t,Re_t,f,Nu_t,hi,U_clean,Rf_val,Cp_val
2020-05-11,426.83109202914767,233.89631683561538,275.1323345820109,267.58992924160424,921.5915888892281,348.2740223990547,31.674792414241367,867.1687244605688,867.0389189446854,33653.828757542295,7.740380614234727,7.820985927193696,80.68409315745036,41.23601774639553,58.7698153536883,131706.56844420705,114.13047525494544,0.10582818491620481,0.22972865386804942,1276.7737109025065,56122.72032869719,490.4285799015289,1339.9945256686156,221.77723679805842,2.9397262111073195,91499.00220071789,0.004583908813957794,856.8726874706324,3141.4619538288293,739.1178733865099,0.007408937484938436,15.44144437097961
2020-05-12,457.0814742194282,231.8500795152452,276.4559848361545,266.9732313579983,940.9876541985406,348.9358426411947,31.100000381469727,870.2337002954009,870.1051081982483,35947.01558838141,8.267813585327724,8.328758786553946,81.96261128319635,44.605905320909294,61.401693824330636,134650.27402683275,116.68134664370255,0.11407296674938006,0.23539297232270326,1367.2612443708183,60100.25095194753,510.99695713031946,1396.193356686988,223.92292609536412,2.9572511161211708,92384.2527907728,0.004574480634171795,864.1833362147336,3168.264214215017,760.8621764752929,0.007256051700865253,15.335411622671389
2020-05-13,455.47120537228056,232.2292540020413,276.6489974339803,267.51397957271996,941.3655451032851,349.4325534608629,31.21281283299128,869.6332434773127,869.5044265296896,36105.588846348146,8.304285434660075,8.327442738799235,81.91857388814292,44.41974343193902,61.2662106077427,135532.48244475003,117.44582534207107,0.11411655970067724,0.2353292388528769,1362.44447031214,59888.52160549143,509.91606904321736,1393.2400538434463,228.1597882185087,3.0132055706073717,94132.26201988383,0.004556209498204418,878.5949792565245,3221.100101004208,764.0313597893492,0.007205717231056389,15.37185926169994
2020-05-14,419.3862757788764,233.34658873875935,274.40800783369275,267.8692714691162,907.2388188680012,349.5439666959974,32.0,865.4434250764525,865.3139455493305,33877.34166474527,7.791788582891413,7.878333349195155,81.67469522688124,41.0614190949334,59.058699010966,131933.42496360003,114.32705802738303,0.10370426630339413,0.22570084061064857,1254.5041390546407,55143.824113976305,485.27807579486193,1325.9218398786618,218.22523801199483,2.8979609130806137,90033.54817380656,0.004599784205118014,844.7523371328081,3097.02639180182,730.707975655482,0.007378299997351172,15.646066805939252
2020-05-15,436.48736326429577,231.84825954437255,274.7412655088637,266.6925317764282,928.5515959845649,349.0379336675008,31.284375,869.2545086140129,869.1259175961031,35155.69566149295,8.08581000214338,8.14374428518339,82.34540189107258,42.89300596449112,60.48839400366082,133658.89535640887,115.82226634004236,0.10883838328622707,0.23202781329905975,1305.6583762622156,57392.39402414403,497.0558017418634,1358.1020368341,219.20367227782836,2.910953480307926,90437.2224207009,0.004595377277082928,848.0932974910896,3109.2750023693625,742.9460398673657,0.007287925657891091,15.589593338530952
2020-05-16,472.9170730802748,231.21554816563923,277.2813401752048,266.56274876064725,980.1745547400579,350.65721060434976,30.462187727292378,873.6669388240069,873.5387230039446,37838.995351013196,8.702968930733034,8.75733683513505,84.09446184370252,46.06579200956557,63.18150673133072,137720.28169278053,119.34166524504379,0.11863366064368658,0.24617040018639824,1414.6300436441056,62182.425617058485,521.5466235737056,1425.0181353828089,229.25477027692244,3.0258025542671203,94584.020582751,0.004551560194419247,882.3144559953937,3234.7364262531787,776.1445856766683,0.007090883487909204,15.376215649433128
2020-05-17,483.0579929563734,231.16168248918322,277.03007909986707,266.97049414316814,990.0015176984998,350.66882214016385,30.100000381469727,875.6188098142198,875.4906259365039,38796.02914390331,8.923086703097761,8.998280711551848,83.69832799699572,45.86839661068387,62.898554601082516,141866.6604618592,122.93471443835284,0.12117516880478808,0.24918690141743768,1444.9644315178157,63515.82428625183,528.2283498100469,1443.2745685223933,240.75932527850443,3.1600420190904366,99330.47390954818,0.004504417603231,921.2707621232122,3377.5578224205583,793.724835538829,0.006874516389949952,15.488329069972623
2020-05-18,485.3742367214627,230.6696635140313,276.3798631456163,266.9060962041219,989.6253964742024,350.16921225653755,30.377916782432134,874.11660771876,873.988715608296,39177.103878335605,9.010733892017189,9.0441564663695,83.26311605241564,45.71019963158502,62.62086831681041,143893.17328539043,124.6907914084839,0.12211875072487562,0.2486649755320489,1451.8929782018183,63820.38012454187,529.7465959736303,1447.4228617320339,240.73009004178328,3.159658504768461,99318.41227947421,0.004504533615336429,921.1720449823894,3377.195906179534,795.15354225197,0.006762219678405738,15.681347662156503
2020-05-19,478.63161491817897,229.7042836083306,274.68842317793104,266.2457510842217,972.6942284054226,348.62342770894367,30.331041559908126,874.3710592296999,874.2437395895203,38839.649139331785,8.933119302046311,8.938699706818484,82.37767662472196,44.98413956960042,61.80667670156971,144532.63022458428,125.2449135395011,0.12082692874836588,0.24447772448922298,1431.7238705108473,62933.81331904302,525.3188335880835,1435.3249180135308,237.51068515920818,3.125117681160657,97990.17707062828,0.004517423773468161,910.2926938446953,3337.3100886232573,787.8237782255686,0.006715036791489368,15.897579763534523
2020-05-20,470.0190465503269,229.01682842042712,273.2646307415433,265.67618079715305,949.645317586263,347.1870200475057,30.33739564816157,874.3521510035049,874.2252390242517,38062.39893646268,8.754351755386418,8.76913200732441,81.51083925035265,44.247802321116126,60.98344087904997,143477.16348149834,124.33029764427933,0.11856040780199383,0.23871621209383598,1405.9612185373278,61801.37293490216,519.6266501288698,1419.7722055758106,235.0526883798289,3.081316726440869,96976.07726501762,0.00452742143960216,901.9748541779201,3306.8152703926103,780.0061725040978,0.00676105068365342,15.939655611331224
